UID,FIPS,Admin2,date,cases,treat1,cities,cases2
84004013,4013,Maricopa,2020-05-25,8379,0,Pheonix,0
84004013,4013,Maricopa,2020-05-26,8448,0,Pheonix,0
84004013,4013,Maricopa,2020-05-27,8627,0,Pheonix,0
84004013,4013,Maricopa,2020-05-28,8896,0,Pheonix,0
84004013,4013,Maricopa,2020-05-29,9112,0,Pheonix,0
84004013,4013,Maricopa,2020-05-30,9522,0,Pheonix,0
84004013,4013,Maricopa,2020-05-31,9815,0,Pheonix,0
84004013,4013,Maricopa,2020-06-01,9937,0,Pheonix,0
84004013,4013,Maricopa,2020-06-02,10536,0,Pheonix,0
84004013,4013,Maricopa,2020-06-03,11068,0,Pheonix,0
84004013,4013,Maricopa,2020-06-04,11229,0,Pheonix,0
84004013,4013,Maricopa,2020-06-05,12091,0,Pheonix,0
84004013,4013,Maricopa,2020-06-06,12761,0,Pheonix,0
84004013,4013,Maricopa,2020-06-07,13498,0,Pheonix,0
84004013,4013,Maricopa,2020-06-08,14003,0,Pheonix,0
84004013,4013,Maricopa,2020-06-09,14374,0,Pheonix,0
84004013,4013,Maricopa,2020-06-10,15282,0,Pheonix,0
84004013,4013,Maricopa,2020-06-11,16018,0,Pheonix,0
84004013,4013,Maricopa,2020-06-12,17010,0,Pheonix,0
84004013,4013,Maricopa,2020-06-13,17791,0,Pheonix,0
84004013,4013,Maricopa,2020-06-14,18692,0,Pheonix,0
84004013,4013,Maricopa,2020-06-15,19372,0,Pheonix,0
84004013,4013,Maricopa,2020-06-16,20775,0,Pheonix,0
84004013,4013,Maricopa,2020-06-17,22272,0,Pheonix,0
84004013,4013,Maricopa,2020-06-18,23880,0,Pheonix,0
84004013,4013,Maricopa,2020-06-19,25999,0,Pheonix,0
84004013,4013,Maricopa,2020-06-20,28303,0,Pheonix,0
84004013,4013,Maricopa,2020-06-21,30136,0,Pheonix,0
84004013,4013,Maricopa,2020-06-22,31650,0,Pheonix,0
84004013,4013,Maricopa,2020-06-23,33883,0,Pheonix,0
84004013,4013,Maricopa,2020-06-24,34992,0,Pheonix,0
84004013,4013,Maricopa,2020-06-25,37135,0,Pheonix,0
84004013,4013,Maricopa,2020-06-26,39626,0,Pheonix,0
84004013,4013,Maricopa,2020-06-27,42374,0,Pheonix,0
84004013,4013,Maricopa,2020-06-28,44962,0,Pheonix,0
84004013,4013,Maricopa,2020-06-29,45178,0,Pheonix,0
84004013,4013,Maricopa,2020-06-30,48592,0,Pheonix,0
84004013,4013,Maricopa,2020-07-01,52266,0,Pheonix,0
84004013,4013,Maricopa,2020-07-02,54757,0,Pheonix,0
84004013,4013,Maricopa,2020-07-03,57929,0,Pheonix,0
84004013,4013,Maricopa,2020-07-04,59829,0,Pheonix,0
84004013,4013,Maricopa,2020-07-05,62296,0,Pheonix,0
84004013,4013,Maricopa,2020-07-06,64915,0,Pheonix,0
84004013,4013,Maricopa,2020-07-07,67543,0,Pheonix,0
84004013,4013,Maricopa,2020-07-08,70128,0,Pheonix,0
84004013,4013,Maricopa,2020-07-09,73165,0,Pheonix,0
84004013,4013,Maricopa,2020-07-10,76328,0,Pheonix,0
84004013,4013,Maricopa,2020-07-11,78481,0,Pheonix,0
84004013,4013,Maricopa,2020-07-12,80146,0,Pheonix,0
84004013,4013,Maricopa,2020-07-13,81216,0,Pheonix,0
84004013,4013,Maricopa,2020-07-14,84233,0,Pheonix,0
84004013,4013,Maricopa,2020-07-15,86483,0,Pheonix,0
84004013,4013,Maricopa,2020-07-16,88954,0,Pheonix,0
84004013,4013,Maricopa,2020-07-17,91863,0,Pheonix,0
84004013,4013,Maricopa,2020-07-18,93870,0,Pheonix,0
84004013,4013,Maricopa,2020-07-19,95471,0,Pheonix,0
84004013,4013,Maricopa,2020-07-20,96711,0,Pheonix,0
84004013,4013,Maricopa,2020-07-21,98988,0,Pheonix,0
84004013,4013,Maricopa,2020-07-22,100543,0,Pheonix,0
84004013,4013,Maricopa,2020-07-23,102247,0,Pheonix,0
84004013,4013,Maricopa,2020-07-24,104613,0,Pheonix,0
84004013,4013,Maricopa,2020-07-25,107291,0,Pheonix,0
84004013,4013,Maricopa,2020-07-26,108677,0,Pheonix,0
84004013,4013,Maricopa,2020-07-27,109988,0,Pheonix,0
84004013,4013,Maricopa,2020-07-28,111446,0,Pheonix,0
84004013,4013,Maricopa,2020-07-29,113148,0,Pheonix,0
84004013,4013,Maricopa,2020-07-30,114852,0,Pheonix,0
84004013,4013,Maricopa,2020-07-31,117293,0,Pheonix,0
84004013,4013,Maricopa,2020-08-01,119295,0,Pheonix,0
84004013,4013,Maricopa,2020-08-02,120279,0,Pheonix,0
84004013,4013,Maricopa,2020-08-03,120960,0,Pheonix,0
84004013,4013,Maricopa,2020-08-04,121789,0,Pheonix,0
84004013,4013,Maricopa,2020-08-05,123082,0,Pheonix,0
84004013,4013,Maricopa,2020-08-06,124022,0,Pheonix,0
84004013,4013,Maricopa,2020-08-07,124924,0,Pheonix,0
84004013,4013,Maricopa,2020-08-08,125545,0,Pheonix,0
84004013,4013,Maricopa,2020-08-09,126053,0,Pheonix,0
84004013,4013,Maricopa,2020-08-10,126371,0,Pheonix,0
84004013,4013,Maricopa,2020-08-11,126791,0,Pheonix,0
84004013,4013,Maricopa,2020-08-12,127188,0,Pheonix,0
84004013,4013,Maricopa,2020-08-13,127768,0,Pheonix,0
84004013,4013,Maricopa,2020-08-14,128352,0,Pheonix,0
84004013,4013,Maricopa,2020-08-15,128865,0,Pheonix,0
84004013,4013,Maricopa,2020-08-16,129385,0,Pheonix,0
84004013,4013,Maricopa,2020-08-17,129562,0,Pheonix,0
84004013,4013,Maricopa,2020-08-18,129958,0,Pheonix,0
84004013,4013,Maricopa,2020-08-19,130384,0,Pheonix,0
84004013,4013,Maricopa,2020-08-20,130800,0,Pheonix,0
84004013,4013,Maricopa,2020-08-21,131166,0,Pheonix,0
84004013,4013,Maricopa,2020-08-22,131685,0,Pheonix,0
84004013,4013,Maricopa,2020-08-23,131787,0,Pheonix,0
84004013,4013,Maricopa,2020-08-24,131962,0,Pheonix,0
84004013,4013,Maricopa,2020-08-25,132290,0,Pheonix,0
84004013,4013,Maricopa,2020-08-26,132434,0,Pheonix,0
84004013,4013,Maricopa,2020-08-27,132704,0,Pheonix,0
84004013,4013,Maricopa,2020-08-28,132986,0,Pheonix,0
84004013,4013,Maricopa,2020-08-29,133389,0,Pheonix,0
84004013,4013,Maricopa,2020-08-30,133641,0,Pheonix,0
84004013,4013,Maricopa,2020-08-31,133728,0,Pheonix,0
84004013,4013,Maricopa,2020-09-01,134004,0,Pheonix,0
84004013,4013,Maricopa,2020-09-02,134346,0,Pheonix,0
84004013,4013,Maricopa,2020-09-03,135109,0,Pheonix,0
84004013,4013,Maricopa,2020-09-04,135495,0,Pheonix,0
84004013,4013,Maricopa,2020-09-05,135856,0,Pheonix,0
84004013,4013,Maricopa,2020-09-06,135964,0,Pheonix,0
84004013,4013,Maricopa,2020-09-07,136004,0,Pheonix,0
84004013,4013,Maricopa,2020-09-08,136040,0,Pheonix,0
84004013,4013,Maricopa,2020-09-09,136324,0,Pheonix,0
84004013,4013,Maricopa,2020-09-10,136571,0,Pheonix,0
84004013,4013,Maricopa,2020-09-11,136887,0,Pheonix,0
84004013,4013,Maricopa,2020-09-12,137292,0,Pheonix,0
84004013,4013,Maricopa,2020-09-13,137507,0,Pheonix,0
84004013,4013,Maricopa,2020-09-14,137589,0,Pheonix,0
84004013,4013,Maricopa,2020-09-15,137870,0,Pheonix,0
84004013,4013,Maricopa,2020-09-16,138151,0,Pheonix,0
84004013,4013,Maricopa,2020-09-17,139051,0,Pheonix,0
84004013,4013,Maricopa,2020-09-18,139245,0,Pheonix,0
84004013,4013,Maricopa,2020-09-19,139586,0,Pheonix,0
84004013,4013,Maricopa,2020-09-20,139856,0,Pheonix,0
84004013,4013,Maricopa,2020-09-21,140006,0,Pheonix,0
84004013,4013,Maricopa,2020-09-22,140314,0,Pheonix,0
84004013,4013,Maricopa,2020-09-23,140409,0,Pheonix,0
84004013,4013,Maricopa,2020-09-24,140584,0,Pheonix,0
84004013,4013,Maricopa,2020-09-25,140753,0,Pheonix,0
84004013,4013,Maricopa,2020-09-26,140963,0,Pheonix,0
84004013,4013,Maricopa,2020-09-27,141211,0,Pheonix,0
84004013,4013,Maricopa,2020-09-28,141377,0,Pheonix,0
84004013,4013,Maricopa,2020-09-29,141738,0,Pheonix,0
84004013,4013,Maricopa,2020-09-30,141856,0,Pheonix,0
84004013,4013,Maricopa,2020-10-01,142287,0,Pheonix,0
84004013,4013,Maricopa,2020-10-02,142566,0,Pheonix,0
84004013,4013,Maricopa,2020-10-03,142968,0,Pheonix,0
84004013,4013,Maricopa,2020-10-04,143183,0,Pheonix,0
84004013,4013,Maricopa,2020-10-05,143411,0,Pheonix,0
84004013,4013,Maricopa,2020-10-06,143917,0,Pheonix,0
84004013,4013,Maricopa,2020-10-07,144342,0,Pheonix,0
84004013,4013,Maricopa,2020-10-08,144867,0,Pheonix,0
84004013,4013,Maricopa,2020-10-09,145298,0,Pheonix,0
84004013,4013,Maricopa,2020-10-10,145847,0,Pheonix,0
84004013,4013,Maricopa,2020-10-11,146278,0,Pheonix,0
84004013,4013,Maricopa,2020-10-12,146574,0,Pheonix,0
84004013,4013,Maricopa,2020-10-13,147010,0,Pheonix,0
84004013,4013,Maricopa,2020-10-14,147551,0,Pheonix,0
84004013,4013,Maricopa,2020-10-15,148152,0,Pheonix,0
84004013,4013,Maricopa,2020-10-16,148612,0,Pheonix,0
84004013,4013,Maricopa,2020-10-17,149202,0,Pheonix,0
84004013,4013,Maricopa,2020-10-18,149720,0,Pheonix,0
84004013,4013,Maricopa,2020-10-19,150280,0,Pheonix,0
84004013,4013,Maricopa,2020-10-20,150881,0,Pheonix,0
84004013,4013,Maricopa,2020-10-21,151527,0,Pheonix,0
84004013,4013,Maricopa,2020-10-22,152101,0,Pheonix,0
84004013,4013,Maricopa,2020-10-23,152695,0,Pheonix,0
84004013,4013,Maricopa,2020-10-24,153177,0,Pheonix,0
84004013,4013,Maricopa,2020-10-25,154182,0,Pheonix,0
84004013,4013,Maricopa,2020-10-26,154722,0,Pheonix,0
84004013,4013,Maricopa,2020-10-27,155458,0,Pheonix,0
84004013,4013,Maricopa,2020-10-28,155951,0,Pheonix,0
84004013,4013,Maricopa,2020-10-29,156736,0,Pheonix,0
84004013,4013,Maricopa,2020-10-30,157728,0,Pheonix,
84004013,4013,Maricopa,2020-10-31,158761,0,Pheonix,
84004013,4013,Maricopa,2020-11-01,159781,0,Pheonix,
84006075,6075,San Francisco,2020-03-01,0,1,San Francisco,
84006075,6075,San Francisco,2020-03-02,0,1,San Francisco,
84006075,6075,San Francisco,2020-03-03,0,1,San Francisco,
84006075,6075,San Francisco,2020-03-04,0,1,San Francisco,0
84006075,6075,San Francisco,2020-03-05,2,1,San Francisco,0
84006075,6075,San Francisco,2020-03-06,2,1,San Francisco,0
84006075,6075,San Francisco,2020-03-07,9,1,San Francisco,0
84006075,6075,San Francisco,2020-03-08,9,1,San Francisco,0
84006075,6075,San Francisco,2020-03-09,14,1,San Francisco,0
84006075,6075,San Francisco,2020-03-10,16,1,San Francisco,0
84006075,6075,San Francisco,2020-03-11,17,1,San Francisco,0
84006075,6075,San Francisco,2020-03-12,20,1,San Francisco,0
84006075,6075,San Francisco,2020-03-13,28,1,San Francisco,0
84006075,6075,San Francisco,2020-03-14,29,1,San Francisco,0
84006075,6075,San Francisco,2020-03-15,31,1,San Francisco,0
84006075,6075,San Francisco,2020-03-16,40,1,San Francisco,0
84006075,6075,San Francisco,2020-03-17,46,1,San Francisco,0
84006075,6075,San Francisco,2020-03-18,65,1,San Francisco,0
84006075,6075,San Francisco,2020-03-19,80,1,San Francisco,0
84006075,6075,San Francisco,2020-03-20,87,1,San Francisco,0
84006075,6075,San Francisco,2020-03-21,106,1,San Francisco,0
84006075,6075,San Francisco,2020-03-22,134,1,San Francisco,0
84006075,6075,San Francisco,2020-03-23,152,1,San Francisco,0
84006075,6075,San Francisco,2020-03-24,181,1,San Francisco,0
84006075,6075,San Francisco,2020-03-25,212,1,San Francisco,0
84006075,6075,San Francisco,2020-03-26,261,1,San Francisco,0
84006075,6075,San Francisco,2020-03-27,285,1,San Francisco,0
84006075,6075,San Francisco,2020-03-28,600,1,San Francisco,0
84006075,6075,San Francisco,2020-03-29,333,1,San Francisco,0
84006075,6075,San Francisco,2020-03-30,368,1,San Francisco,0
84006075,6075,San Francisco,2020-03-31,404,1,San Francisco,0
84006075,6075,San Francisco,2020-04-01,432,1,San Francisco,0
84006075,6075,San Francisco,2020-04-02,473,1,San Francisco,0
84006075,6075,San Francisco,2020-04-03,506,1,San Francisco,0
84006075,6075,San Francisco,2020-04-04,537,1,San Francisco,0
84006075,6075,San Francisco,2020-04-05,559,1,San Francisco,0
84006075,6075,San Francisco,2020-04-06,586,1,San Francisco,0
